"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"SHORT LINED CRUISER","Portland","F20232828-1-MltyGrn-025041833","USD","2152.5","0.0","2152.5","10"
"SHORT LINED CRUISER","Portland","F20232828-1-DarkBrown-000000357","USD","1050.0","0.0","1050.0","5"
"SHORT LINED CRUISER","Portland","F20232828-1-MltyGrn-025041832","USD","1050.0","210.0","840.0","5"
"SHORT LINED CRUISER","Portland","F20232828-1-DarkBrown-000000356","USD","1050.0","210.0","840.0","5"
"ORIGINAL BRIEFCASE","Portland","F2020195528-1-Navy-OS-USA","USD","1038.0","0.0","1038.0","3"
"DRY TIN JAC-SHIRT","Portland","F20293581-1-NaturalSd-027888633","USD","875.0","0.0","875.0","5"
"24 HOUR TIN BRIEFCASE","Portland","F2020282279-1-DarkTan-OS-VNM","USD","790.0","0.0","790.0","2"
"24 HOUR TIN BRIEFCASE","Portland","F2020282279-1-OtterGreen-OS-VNM","USD","790.0","0.0","790.0","2"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F20293578-1-BlueMussel-014424336","USD","750.0","0.0","750.0","3"
"LINED WOOL PACKER COAT","Portland","F1420266728-1-BrgDkOlv-L-USA","USD","731.0","0.0","731.0","1"
"WORKSMITH INSULATED BOMBER JACKET","Portland","F20285037-1-Tarmac-025887153","USD","708.0","0.0","708.0","4"
"SHORT LINED CRUISER","Portland","F1420232828-1-DarkTan-XL-BGD","USD","700.0","0.0","700.0","2"
"SHORT LINED CRUISER","Portland","F1420232828-1-DarkTan-M-BGD","USD","700.0","0.0","700.0","2"
"SHORT LINED CRUISER","Portland","F20232828-1-DarkBrown-000000358","USD","630.0","0.0","630.0","3"
"FILSON FORESTRY WOOL BLANKET (TWIN)","Portland","F20290128-1-DkTimberTn-025953885","USD","630.0","0.0","630.0","3"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-TanBrnBlk-M-USA","USD","594.0","0.0","594.0","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-TanBrnCk-M-USA","USD","594.0","0.0","594.0","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-DkTimBlkCk-L-USA","USD","594.0","0.0","594.0","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-DkTmbBlkCk-M-USA","USD","594.0","0.0","594.0","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-TanBrnBlk-S-USA","USD","594.0","0.0","594.0","2"
"W'S BARN COAT","Portland","F1520289087-1-MarshOlive-XL-LKA","USD","590.0","0.0","590.0","2"
"SWIFTWATER RAIN JACKET","Portland","F1420248728-1-ServiceGrn-L-BGD","USD","588.0","0.0","588.0","4"
"SWIFTWATER RAIN JACKET","Portland","F1420248728-1-ServiceGrn-M-BGD","USD","588.0","0.0","588.0","4"
"W'S LINED WOOL PACKER COAT","Portland","F1520289081-1-CrmBrnMuti-S-GBR","USD","585.0","0.0","585.0","1"
"JOURNEYMAN BACKPACK","Portland","F2020282278-1-Tan-OS-VNM","USD","552.0","0.0","552.0","2"
"CREWNECK GUIDE SWEATER","Portland","11010691-fco-010759448","USD","550.0","0.0","550.0","1"
"W'S RANGER RAINCOAT","Portland","F20298183-1-Navy-000000089","USD","530.0","0.0","530.0","2"
"DRYDEN BACKPACK","Portland","F2020295178-1-OtterGreen-OS-VNM","USD","530.0","0.0","530.0","2"
"DRY TIN JAC-SHIRT","Portland","F20293581-1-StormBlue-027888636","USD","525.0","0.0","525.0","3"
"DRY TIN JAC-SHIRT","Portland","F20293581-1-NaturalSd-027888635","USD","525.0","175.0","350.0","4"
"DEER ISLAND JAC-SHIRT","Portland","F20105728-1-CobaltNat-027889445","USD","507.0","0.0","507.0","3"
"JAC-SHIRT","Portland","F20293582-1-BlueHtr-027888783","USD","500.0","0.0","500.0","2"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F20293578-1-BlueMussel-014424337","USD","500.0","0.0","500.0","2"
"MACKINAW WOOL VEST","Portland","F1420266328-1-ForestGrn-M-USA","USD","500.0","275.0","225.0","2"
"48HR DUFFLE","Portland","F2520282280-1-DarkTan-OS-VNM","USD","495.0","0.0","495.0","1"
"DOWN CRUISER (RDS)","Portland","F1420069543-1-DarkTan-M-BGD","USD","495.0","0.0","495.0","1"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420263528-1-RedBlkOmb-M-USA","USD","494.0","0.0","494.0","2"
"COMPACT DUFFLE BAG","Portland","F20295287-1-Tan-000000093","USD","475.0","0.0","475.0","1"
"W'S AVIATOR SHORT WORK JACKET","Portland","F20298191-1-FlagBlue-008984453","USD","471.25","0.0","471.25","2"
"DRY TIN 5 POCKET PANT","Portland","F20155578-1-StormBlue-027940197","USD","465.0","0.0","465.0","3"
"FIELD JAC-SHIRT (REVERSE SATEEN)","Portland","F20277936-1-WshdFtgGrn-025019479","USD","450.0","0.0","450.0","2"
"TIN CLOTH INSULATED WORK VEST","Portland","F1420172090-1-Black-L-KOR","USD","450.0","0.0","450.0","2"
"DOWN BOMBER JACKET (RDS)","Portland","F1420285040-1-OtterGreen-S-BGD","USD","450.0","0.0","450.0","1"
"MACKINAW FIELD PANT","Portland","F1411014010-1-ForestGrn-40-USA","USD","445.0","445.0","0.0","1"
"MACKINAW FIELD PANT","Portland","F1411014010-1-Charcoal-42-USA","USD","445.0","445.0","0.0","1"
"VINTAGE WASH ALASKAN GUIDE SHIRT","Portland","F20233069-1-BlueDkBrn-027903319","USD","435.0","0.0","435.0","3"
"DRAFTSMAN CANVAS PANTS","Portland","F20187534-1-Charcoal-018129869","USD","435.0","0.0","435.0","3"
"400G MERINO HOODIE","Portland","F20114900-1-DarkOlive-000000134","USD","427.5","0.0","427.5","2"
"FILSON FORESTRY WOOL BLANKET (TWIN)","Portland","20290128-fco-025953885","USD","420.0","0.0","420.0","3"
"DOWN BOMBER JACKET (RDS)","Portland","F1420285040-1-OtrGrn-L-BGD","USD","405.0","0.0","405.0","1"
"LT WT ALASKAN GUIDE SHIRT","Portland","F1420293594-1-MdntNavy-XL-LKA","USD","405.0","0.0","405.0","3"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F20293578-1-WshdFtgGrn-025019478","USD","400.0","0.0","400.0","2"
