"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000043","USD","1772.25","0.0","1772.25","4"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-025887152","USD","1770.0","0.0","1770.0","6"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000101","USD","1750.0","0.0","1750.0","5"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000357","USD","1715.0","0.0","1715.0","5"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000000089","USD","1650.0","0.0","1650.0","3"
"24 Hour Tin Cloth Briefcase","Portland","20282279-fco-000000074","USD","1580.0","0.0","1580.0","4"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358097","USD","1552.5","337.5","1215.0","5"
"Lined Denim Short Cruiser Jacket","Portland","20172080-fco-012796318","USD","1410.75","371.25","1039.5","4"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","1400.0","0.0","1400.0","4"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358096","USD","1282.5","0.0","1282.5","4"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-025891578","USD","1170.0","450.0","720.0","3"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000042","USD","1143.97","0.0","1143.97","4"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943283","USD","1130.5","0.0","1130.5","2"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000000076","USD","1100.0","0.0","1100.0","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000111","USD","1100.0","0.0","1100.0","2"
"Cavalry Wool Field Jacket","Portland","20263382-fco-000000076","USD","1087.5","0.0","1087.5","2"
"Henley Guide Sweater","Portland","11010692-fco-000000101","USD","1071.0","0.0","1071.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041832","USD","1050.0","0.0","1050.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000045","USD","1050.0","0.0","1050.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000099","USD","1050.0","0.0","1050.0","3"
"Traveller Outfitter Bag","Portland","20264454-fco-005970331","USD","995.0","0.0","995.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-025891580","USD","990.0","0.0","990.0","3"
"Lined Mackinaw Wool Packer Coat","Portland","20266728-fco-025728041","USD","975.0","0.0","975.0","1"
"Lined Mackinaw Wool Packer Coat","Portland","20266728-fco-025727789","USD","975.0","0.0","975.0","1"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-025739027","USD","975.0","0.0","975.0","2"
"Full Grain Leather Jac-shirt","Portland","20285041-fco-000000130","USD","975.0","0.0","975.0","1"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000042","USD","966.0","0.0","966.0","4"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-000000113","USD","945.0","0.0","945.0","3"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358095","USD","945.0","0.0","945.0","4"
"Women's Blanket Wool Barn Coat","Portland","20289085-fco-025930264","USD","900.0","450.0","450.0","2"
"Down Bomber Jacket","Portland","20285040-fco-000000053","USD","900.0","0.0","900.0","2"
"CPO Wool Jac-Shirt","Portland","20233072-fco-000000117","USD","892.5","0.0","892.5","3"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-025887153","USD","885.0","0.0","885.0","3"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000074","USD","855.5","0.0","855.5","3"
"Down Jac-shirt","Portland","20285039-fco-000000043","USD","855.0","405.0","450.0","2"
"Women's Blanket Wool Barn Coat","Portland","20289085-fco-025930261","USD","850.0","0.0","850.0","2"
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000044","USD","834.0","0.0","834.0","2"
"Mackinaw Wool Double Coat ","Portland","20263381-fco-000000353","USD","834.0","0.0","834.0","2"
"Seattle Wool Jac-shirt","Portland","20266729-fco-000000076","USD","829.5","0.0","829.5","3"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000116","USD","825.0","0.0","825.0","2"
"Wool Jac-shirt","Portland","20288328-fco-000000117","USD","800.0","0.0","800.0","4"
"Dryden Backpack","Portland","20295178-fco-000000074","USD","795.0","265.0","530.0","3"
"Women's Blanket Wool Overshirt","Portland","20289841-fco-025932329","USD","790.0","0.0","790.0","2"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-023120922","USD","787.5","0.0","787.5","2"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000099","USD","787.5","0.0","787.5","4"
"Long Mackinaw Wool Cruiser","Portland","20270430-fco-000170248","USD","768.75","0.0","768.75","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000099","USD","767.0","0.0","767.0","3"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000088","USD","744.0","279.0","465.0","4"
"Ccc Jacquard Wool  Jac-shirt","Portland","20263409-fco-022851494","USD","743.75","0.0","743.75","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-022851964","USD","742.5","0.0","742.5","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-022851967","USD","742.5","0.0","742.5","2"
"Heritage 3-gauge Wool Sweater","Portland","20067987-fco-025906159","USD","731.25","0.0","731.25","3"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-025891911","USD","720.0","450.0","270.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-025891576","USD","720.0","0.0","720.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-025891579","USD","720.0","0.0","720.0","2"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000074","USD","708.0","0.0","708.0","6"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041833","USD","700.0","0.0","700.0","2"
"Down Cruiser Parka","Portland","20236378-fco-000000052","USD","695.0","0.0","695.0","1"
"Medium Tin Cloth Duffle Bag","Portland","20263733-fco-017871261","USD","692.25","0.0","692.25","3"
"Down Cruiser Vest","Portland","20070978-fco-000000054","USD","690.0","345.0","345.0","2"
"Down Cruiser Vest","Portland","20070978-fco-000000053","USD","690.0","0.0","690.0","2"
"Mackinaw Wool Vest","Portland","20266328-fco-000000116","USD","675.0","0.0","675.0","3"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358100","USD","675.0","0.0","675.0","2"
"Waffle Knit Thermal Crewneck","Portland","20183578-fco-000000111","USD","665.0","190.0","475.0","7"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000045","USD","651.0","0.0","651.0","2"
"Skagit Rain Jacket ","Portland","20147678-fco-008968863","USD","648.38","0.0","648.38","2"
"Jac-shirt","Portland","20251028-fco-000000043","USD","632.0","395.0","237.0","2"
"Lined Denim Cruiser Jacket","Portland","20204440-fco-012796320","USD","630.0","0.0","630.0","2"
"Lined Denim Cruiser Jacket","Portland","20204440-fco-012796318","USD","630.0","0.0","630.0","2"
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000042","USD","625.5","0.0","625.5","2"
"Worksmith Insulated Jacket","Portland","20285032-fco-025887151","USD","619.5","0.0","619.5","3"
"Women's Waxed Down Jacket","Portland","20289091-fco-025931907","USD","616.25","616.25","0.0","2"
"Women's Waxed Down Jacket","Portland","20289091-fco-025931904","USD","616.25","616.25","0.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851665","USD","607.5","0.0","607.5","2"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943282","USD","595.0","0.0","595.0","1"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943281","USD","595.0","0.0","595.0","1"
"Mackinaw Wool Blazer","Portland","20270478-fco-002122484","USD","595.0","0.0","595.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-025953543","USD","594.0","0.0","594.0","2"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-000000103","USD","590.0","0.0","590.0","2"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000101","USD","590.0","0.0","590.0","2"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000101","USD","590.0","0.0","590.0","2"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000073","USD","590.0","0.0","590.0","5"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-000000105","USD","590.0","0.0","590.0","2"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000099","USD","590.0","0.0","590.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-022850515","USD","590.0","0.0","590.0","2"
"Women's Dry Tin Barn Coat","Portland","20289087-fco-000000089","USD","590.0","0.0","590.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-022850513","USD","590.0","0.0","590.0","2"
"Tin Cloth Primaloft® Vest","Portland","20248735-fco-025772203","USD","585.0","0.0","585.0","3"
"Moleskin Seattle Shirt","Portland","11010394-fco-000170250","USD","585.0","0.0","585.0","3"
"Moleskin Seattle Shirt","Portland","11010394-fco-000170249","USD","585.0","0.0","585.0","3"
"Waffle Knit Henley","Portland","20233067-fco-010721033","USD","575.0","115.0","460.0","5"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-000000076","USD","574.75","0.0","574.75","7"
"Women's Waxed Down Barn Coat","Portland","20289093-fco-005145536","USD","572.75","0.0","572.75","2"
"Waffle Knit Thermal Crewneck","Portland","20183578-fco-000000116","USD","570.0","0.0","570.0","6"
"Wool Jac-shirt","Portland","20288328-fco-007558710","USD","562.5","0.0","562.5","3"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000042","USD","558.0","0.0","558.0","3"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000045","USD","552.0","0.0","552.0","2"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-000000117","USD","551.25","393.75","157.5","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-021922619","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000538","USD","550.0","0.0","550.0","1"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000001490","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000127","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000844","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-025727419","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000123","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000537","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170249","USD","550.0","0.0","550.0","1"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-005932643","USD","532.0","0.0","532.0","6"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-025733697","USD","525.0","0.0","525.0","1"
"Mackinaw Wool Double Coat ","Portland","20263381-fco-000000849","USD","521.25","0.0","521.25","1"
"Lined Mackinaw Wool Work Vest","Portland","20199228-fco-025891911","USD","520.0","0.0","520.0","2"
"Wool Watch Cap","Portland","11030235-fco-000000110","USD","510.0","0.0","510.0","12"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000356","USD","507.5","0.0","507.5","3"
"Down Cruiser Jacket","Portland","20069543-fco-000000043","USD","495.0","0.0","495.0","1"
"Down Cruiser Jacket","Portland","20069543-fco-000000468","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-025953547","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-026724205","USD","495.0","0.0","495.0","1"
"Heritage 3-gauge Wool Sweater","Portland","20263569-fco-022857894","USD","487.5","0.0","487.5","2"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-000170248","USD","487.5","0.0","487.5","1"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-025739029","USD","487.5","0.0","487.5","1"
"Mackinaw Wool Insulated Cruiser Jacket","Portland","20263379-fco-022850366","USD","487.5","0.0","487.5","1"
"Oil Finish Wax","Portland","20278928-fco-024646251","USD","480.25","5.0","475.25","99"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-010721034","USD","475.0","0.0","475.0","5"
"Women's Seattle Wool Jac-shirt","Portland","20289840-fco-000001490","USD","475.0","0.0","475.0","2"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-010721032","USD","475.0","0.0","475.0","5"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-005932645","USD","475.0","0.0","475.0","5"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-010721033","USD","475.0","0.0","475.0","5"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-000000099","USD","472.0","0.0","472.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-026480774","USD","472.0","295.0","177.0","2"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-025772203","USD","472.0","0.0","472.0","2"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000415","USD","471.25","0.0","471.25","2"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000055","USD","465.0","0.0","465.0","1"
"Field Jac-shirt","Portland","20277936-fco-014424337","USD","450.0","0.0","450.0","2"
"Women's Mackinaw Wool Barn Coat","Portland","20295278-fco-000000117","USD","450.0","0.0","450.0","1"
"Down Jac-shirt","Portland","20285039-fco-000000088","USD","450.0","0.0","450.0","1"
"Field Cargo Pants","Portland","20233133-fco-011280489","USD","450.0","0.0","450.0","2"
"Prospector Graphic Hoodie","Portland","20285242-fco-025911436","USD","450.0","0.0","450.0","4"
"Women's Mackinaw Wool Barn Coat","Portland","20295278-fco-000000113","USD","450.0","0.0","450.0","1"
