"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"TRAVELLER STOWAWAY BACKPACK (STAPLETON)","Portland","20265078-fco-005970331","USD","58.5","0.0","58.5","1"
"Tin Cloth Zipper Tote Bag","Portland","20263590-fco-000000074","USD","58.5","0.0","58.5","1"
"Tin Cloth Wildfowl Hat","Portland","11060063-fco-000000052","USD","57.0","0.0","57.0","1"
"Tin Cloth Wildfowl Hat","Portland","11060063-fco-000000054","USD","57.0","0.0","57.0","1"
"BIG GAME/UPLAND HAT","Portland","F11060065-1-BlazeOrang-000000699","USD","57.0","0.0","57.0","1"
"Prospector Graphic Hoodie","Portland","20293802-fco-027930763","USD","56.25","0.0","56.25","1"
"Midweight Traditional Crew Socks","Portland","20106079-fco-000002138","USD","56.0","0.0","56.0","2"
"Frontier Pocket T-shirt","Portland","20293593-fco-028042663","USD","55.0","0.0","55.0","1"
"Logger Suspenders","Portland","20204564-fco-014615129","USD","55.0","0.0","55.0","1"
"Frontier Pocket T-shirt","Portland","20293593-fco-000000498","USD","55.0","0.0","55.0","1"
"Frontier Pocket T-shirt","Portland","20293593-fco-000002221","USD","55.0","0.0","55.0","1"
"Logger Suspenders","Portland","20204564-fco-017040872","USD","55.0","0.0","55.0","1"
"Heavyweight Traditional Crew Socks","Portland","20106080-fco-000002315","USD","54.0","0.0","54.0","3"
"OIL TIN LOW-PROFILE LOGGER CAP","Portland","F20271578-1-Black-000000110","USD","54.0","0.0","54.0","2"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000073","USD","53.1","0.0","53.1","1"
"Bridle Leather Puppy Collar","Portland","20241379-fco-000002662","USD","52.5","0.0","52.5","1"
"WAFFLE KNIT HENLEY","Portland","F1420233067-1-Sand-XL-PER","USD","51.75","0.0","51.75","1"
"Candle","Portland","20206179-fco-000002341","USD","50.0","0.0","50.0","2"
"Twin Lakes Sport Shirt","Portland","20277948-fco-013953674","USD","50.0","0.0","50.0","1"
"LINED RAGG WOOL BEANIE","Portland","20204539-fco-024164971","USD","50.0","0.0","50.0","1"
"Ultralight Vest","Portland","20114890-fco-022851415","USD","49.5","0.0","49.5","1"
"Ultralight Vest","Portland","20114890-fco-009352175","USD","49.5","0.0","49.5","1"
"Ultralight Vest","Portland","20114890-fco-022851411","USD","49.5","0.0","49.5","1"
"Frontier Graphic T-shirt","Portland","20285228-fco-025897800","USD","49.5","0.0","49.5","2"
"ULTRALIGHT VEST","Portland","F20114890-1-Flame-009352173","USD","49.5","0.0","49.5","1"
"FILSON LEATHER CARD CASE","Portland","F20219178-1-Black-000000110","USD","49.5","0.0","49.5","1"
"LOGGER MESH CAP","Portland","F11030237-1-OtterGreen-000000074","USD","45.0","0.0","45.0","1"
"LOGGER MESH CAP","Portland","F1320272929-1-BlzOrange-OS-VNM","USD","45.0","0.0","45.0","1"
"Nylon Dog Collar","Portland","20218828-fco-009352173","USD","45.0","0.0","45.0","1"
"Tin Cloth Travel Kit","Portland","20297432-fco-000000074","USD","45.0","0.0","45.0","2"
"Frontier Graphic T-shirt","Portland","20293797-fco-027921530","USD","45.0","0.0","45.0","1"
"BLACK BEAR BANDANA","Portland","F20293781-1-BlkBearRvn-027932560","USD","45.0","0.0","45.0","1"
"Logger Mesh Cap","Portland","20272929-fco-001814641","USD","45.0","0.0","45.0","1"
"Nylon Dog Collar","Portland","20218828-fco-009352171","USD","45.0","0.0","45.0","1"
"Ballard Watch Cap","Portland","20249028-fco-021941422","USD","43.5","0.0","43.5","2"
"280G Merino Wool Bottoms","Portland","20067980-fco-018108997","USD","40.5","0.0","40.5","1"
"TRUCKER MESH CAP","Portland","F20294429-1-LodenGrnO-027932551","USD","40.5","0.0","40.5","2"
"BRASS LOCKBACK POCKET KNIFE","Portland","F20163679-1-Brass-001304094","USD","40.0","0.0","40.0","1"
"Fingerless Knit Gloves","Portland","20020938-fco-000000111","USD","40.0","0.0","40.0","1"
"Twin Lakes Short Sleeve Sport Shirt","Portland","20277947-fco-025009989","USD","39.2","0.0","39.2","1"
"Cooper Lake Trunks ","Portland","20260878-fco-024833513","USD","38.0","0.0","38.0","1"
"Cooper Lake Trunks ","Portland","20260878-fco-025021776","USD","38.0","0.0","38.0","1"
"Cooper Lake Trunks ","Portland","20260878-fco-025021779","USD","38.0","0.0","38.0","1"
"Cooper Lake Trunks ","Portland","20260878-fco-025022200","USD","38.0","0.0","38.0","1"
"Everyday Crew Socks","Portland","11064021-fco-000000141","USD","36.0","0.0","36.0","2"
"Heavyweight Traditional Crew Socks","Portland","20106080-fco-000002138","USD","36.0","0.0","36.0","1"
"Field Flannel Shirt","Portland","20172107-fco-025897179","USD","34.5","0.0","34.5","1"
"Field Flannel Shirt","Portland","20172107-fco-025897176","USD","34.5","0.0","34.5","1"
"Small Dry Bag","Portland","20261028-fco-000002141","USD","32.5","0.0","32.5","1"
"NYLON DOG COLLAR","Portland","F20218828-1-DarkTimber-010759447","USD","31.5","0.0","31.5","1"
"Lightweight Traditional Crew Socks","Portland","20106078-fco-000002140","USD","30.0","0.0","30.0","1"
"Ballard Watch Cap","Portland","20249028-fco-005947812","USD","30.0","0.0","30.0","1"
"Travel Pack","Portland","20295180-fco-000000074","USD","29.25","0.0","29.25","1"
"S/S FRONTIER GRAPHIC T-SHIRT","Portland","F1420285228-1-BirchElkMt-L-BGD","USD","27.0","0.0","27.0","1"
"Great Outdoors Bandana","Portland","20285070-fco-025921310","USD","27.0","0.0","27.0","1"
"Frontier Graphic T-shirt","Portland","20285229-fco-025898357","USD","27.0","0.0","27.0","1"
"Frontier Graphic T-shirt","Portland","20293794-fco-027921012","USD","27.0","0.0","27.0","1"
"Frontier Graphic T-shirt","Portland","20285229-fco-025898359","USD","27.0","0.0","27.0","1"
