"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","2212.0","0.0","2212.0","6"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000117","USD","1650.0","1100.0","550.0","3"
"24 Hour Tin Cloth Briefcase","Portland","20282279-fco-000000073","USD","1580.0","0.0","1580.0","4"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000043","USD","1365.0","350.0","1015.0","4"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943282","USD","1190.0","0.0","1190.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-022850513","USD","1062.0","0.0","1062.0","4"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000356","USD","1050.0","0.0","1050.0","3"
"Women's Wool Overshirt","Portland","20289080-fco-025932623","USD","991.25","0.0","991.25","4"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-025953544","USD","990.0","0.0","990.0","2"
"48 Hour Tin Cloth Duffle Bag","Portland","20282280-fco-000000074","USD","990.0","0.0","990.0","2"
"Surveyor 36l Backpack","Portland","20277988-fco-000000110","USD","900.0","0.0","900.0","4"
"Fleece Lined Jac-shirt","Portland","20172089-fco-006032372","USD","860.0","0.0","860.0","5"
"CPO Wool Jac-Shirt","Portland","20233072-fco-000000113","USD","850.0","0.0","850.0","2"
"Surveyor Pullman Pack","Portland","20277995-fco-006813334","USD","825.0","0.0","825.0","3"
"Journeyman Backpack","Portland","20231638-fco-005970331","USD","790.0","0.0","790.0","3"
"Jungle Cloth Work Jacket","Portland","20277934-fco-010548941","USD","752.2","0.0","752.2","3"
"Women's Blanket Wool Overshirt","Portland","20289841-fco-025932612","USD","750.5","395.0","355.5","2"
"Ultralight Hooded Jacket","Portland","20114880-fco-005134874","USD","735.0","0.0","735.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000591","USD","700.0","0.0","700.0","2"
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000043","USD","695.0","0.0","695.0","1"
"Field Jac-shirt","Portland","20277936-fco-014424337","USD","675.0","0.0","675.0","3"
"Vintage Flannel Work Shirt","Portland","11010689-fco-025133076","USD","660.0","0.0","660.0","4"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000044","USD","650.0","0.0","650.0","2"
"Fleece Lined Jac-shirt","Portland","20172089-fco-016828492","USD","645.0","0.0","645.0","3"
"Women's Wool Overshirt","Portland","20289080-fco-025932626","USD","617.5","0.0","617.5","2"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000042","USD","603.75","0.0","603.75","2"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943284","USD","595.0","0.0","595.0","1"
"Mackinaw Wool Blazer","Portland","20270478-fco-002122485","USD","595.0","0.0","595.0","1"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000073","USD","590.0","0.0","590.0","2"
"Women's Dry Tin Barn Coat","Portland","20289087-fco-000001675","USD","590.0","0.0","590.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-026480777","USD","590.0","0.0","590.0","2"
"Women's Dry Tin Barn Coat","Portland","20289087-fco-000001490","USD","560.5","0.0","560.5","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-025727416","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000119","USD","550.0","0.0","550.0","1"
"Crewneck Guide Sweater","Portland","11010691-fco-000170248","USD","550.0","0.0","550.0","1"
"Crewneck Guide Sweater","Portland","11010691-fco-000170249","USD","550.0","0.0","550.0","1"
"Crewneck Guide Sweater","Portland","11010691-fco-000170252","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170249","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Blazer","Portland","20270478-fco-002122484","USD","535.5","0.0","535.5","1"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-000000119","USD","525.0","0.0","525.0","1"
"Women's Seattle Wool Jac-shirt","Portland","20289840-fco-000001490","USD","500.0","0.0","500.0","2"
"Women's Seattle Wool Jac-shirt","Portland","20289840-fco-000000538","USD","500.0","0.0","500.0","2"
"Small Tin Cloth Duffle Bag","Portland","20263594-fco-000000074","USD","500.0","0.0","500.0","2"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-026724205","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Jac-shirt","Portland","20263528-fco-023110902","USD","495.0","0.0","495.0","1"
"Swiftwater Rain Jacket","Portland","20248728-fco-006032372","USD","490.0","0.0","490.0","2"
"Swiftwater Rain Jacket","Portland","20248728-fco-001599738","USD","490.0","0.0","490.0","2"
"Alaskan Guide Shirt","Portland","11012006-fco-000000099","USD","485.75","0.0","485.75","5"
"Women's Seattle Wool Jac-shirt","Portland","20289840-fco-000000076","USD","475.0","0.0","475.0","2"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-023120922","USD","472.5","0.0","472.5","1"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-000000117","USD","472.5","0.0","472.5","1"
"Western Vest","Portland","20272328-fco-000000122","USD","472.0","0.0","472.0","2"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000042","USD","465.0","0.0","465.0","1"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000088","USD","465.0","0.0","465.0","1"
"Skagit Rain Jacket ","Portland","20147678-fco-008968861","USD","455.0","0.0","455.0","1"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358095","USD","450.0","0.0","450.0","1"
"Small Rugged Twill Field Bag","Portland","11070230-fco-000971914","USD","450.0","0.0","450.0","1"
"Granite Spire Fleece Pullover","Portland","20248528-fco-001599785","USD","450.0","0.0","450.0","2"
"Field Flannel Shirt","Portland","20172107-fco-025897183","USD","448.5","0.0","448.5","4"
"Henley Guide Sweater","Portland","11010692-fco-000170242","USD","446.25","0.0","446.25","1"
"Henley Guide Sweater","Portland","11010692-fco-000000105","USD","446.25","0.0","446.25","1"
"Fleece Lined Jac-shirt","Portland","20172089-fco-006032374","USD","430.0","0.0","430.0","2"
"Fleece Lined Jac-shirt","Portland","20172089-fco-006032375","USD","430.0","215.0","215.0","2"
"Safari Cloth Jacket","Portland","20277933-fco-022850513","USD","428.75","0.0","428.75","2"
"Beartooth Jac-shirt","Portland","20277935-fco-025891979","USD","427.75","0.0","427.75","2"
"Mackinaw Wool Vest Liner","Portland","20266331-fco-000000113","USD","427.5","0.0","427.5","2"
"Oil Finish Double Tin Cloth Pants","Portland","20204456-fco-007583175","USD","427.5","0.0","427.5","2"
"CPO Wool Jac-Shirt","Portland","20233072-fco-000000117","USD","425.0","0.0","425.0","1"
"Large Rugged Twill Duffle Bag","Portland","11070223-fco-000971913","USD","417.0","0.0","417.0","1"
"Oil Finish Wax","Portland","20278928-fco-024646251","USD","404.0","0.0","404.0","83"
"24 Hour Tin Cloth Briefcase","Portland","20282279-fco-000000074","USD","395.0","0.0","395.0","1"
"Seattle Wool Jac-shirt","Portland","20266729-fco-000000077","USD","395.0","0.0","395.0","1"
"Jac-shirt","Portland","20251028-fco-000000468","USD","395.0","0.0","395.0","1"
"Women's Blanket Wool Overshirt","Portland","20289841-fco-025932329","USD","395.0","0.0","395.0","1"
"Women's Blanket Wool Overshirt","Portland","20289841-fco-025932613","USD","395.0","0.0","395.0","1"
"Jac-shirt","Portland","20251028-fco-000000044","USD","395.0","0.0","395.0","1"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000099","USD","393.75","0.0","393.75","2"
"Moleskin Seattle Shirt","Portland","11010394-fco-000170249","USD","390.0","195.0","195.0","2"
"Heritage Sportsman Bag","Portland","20231635-fco-000002576","USD","382.5","0.0","382.5","1"
"Alaskan Guide Shirt","Portland","11012006-fco-000000839","USD","377.0","0.0","377.0","3"
"Alaskan Guide Shirt","Portland","11012006-fco-007524570","USD","377.0","0.0","377.0","3"
"Alaskan Guide Shirt","Portland","11012006-fco-007524566","USD","377.0","0.0","377.0","3"
"Prospector Embroidered Hoodie","Portland","20285681-fco-025913205","USD","375.0","0.0","375.0","3"
"Stetson Wolf Canyon Hat","Portland","20031028-fco-000000096","USD","375.0","0.0","375.0","1"
"Alaskan Guide Shirt","Portland","11012006-fco-000001963","USD","362.5","0.0","362.5","3"
"3-layer Field Jacket","Portland","20067678-fco-022853114","USD","356.25","0.0","356.25","1"
"Women's Blanket Wool Overshirt","Portland","20289841-fco-025932611","USD","355.5","0.0","355.5","1"
"Journeyman Backpack","Portland","20282278-fco-000000093","USD","355.5","0.0","355.5","1"
