"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Skagit Rain Jacket ","Portland","20147678-fco-008968862","USD","1274.0","455.0","819.0","3"
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","1185.0","0.0","1185.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041833","USD","1050.0","350.0","700.0","3"
"Field Jac-shirt","Portland","20277936-fco-014424336","USD","900.0","0.0","900.0","4"
"Henley Guide Sweater","Portland","11010692-fco-000000105","USD","825.56","379.31","446.24999999999994","2"
"Seattle Wool Jac-shirt","Portland","20266729-fco-000000076","USD","790.0","0.0","790.0","2"
"Medium Rugged Twill Duffle Bag - Otter Green","Portland","11070325-fco-000971913","USD","714.0","0.0","714.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936241","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000359","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000468","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000101","USD","700.0","0.0","700.0","2"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-025772203","USD","693.25","0.0","693.25","3"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000044","USD","655.5","345.0","310.5","2"
"Ultralight Jacket","Portland","20114879-fco-001599739","USD","645.0","0.0","645.0","3"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-005932642","USD","627.0","0.0","627.0","7"
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971912","USD","595.0","0.0","595.0","1"
"Mackinaw Wool Blazer","Portland","20270478-fco-002122485","USD","595.0","0.0","595.0","1"
"Beartooth Jac-shirt","Portland","20277935-fco-026480774","USD","590.0","0.0","590.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936243","USD","577.5","0.0","577.5","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-022851964","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170251","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000849","USD","550.0","0.0","550.0","1"
