"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","2370.0","0.0","2370.0","6"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000073","USD","1935.5","395.0","1540.5","5"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000074","USD","1475.0","0.0","1475.0","5"
"Surveyor 36l Backpack","Portland","20277988-fco-000000110","USD","1125.0","0.0","1125.0","5"
"Small Rugged Twill Duffle Bag","Portland","11070220-fco-000971913","USD","990.0","0.0","990.0","2"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971913","USD","990.0","0.0","990.0","2"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971912","USD","990.0","0.0","990.0","2"
"Field Cargo Pants","Portland","20233133-fco-025020942","USD","900.0","225.0","675.0","5"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000092","USD","885.0","295.0","590.0","3"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000044","USD","850.0","0.0","850.0","2"
"Journeyman Backpack","Portland","20282278-fco-000000093","USD","790.0","0.0","790.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","700.0","0.0","700.0","2"
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000044","USD","695.0","0.0","695.0","1"
"Foul Weather Jacket","Portland","20232887-fco-000000042","USD","671.5","0.0","671.5","2"
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971913","USD","595.0","0.0","595.0","1"
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971912","USD","595.0","0.0","595.0","1"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000073","USD","590.0","0.0","590.0","2"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000073","USD","590.0","0.0","590.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-022850513","USD","590.0","0.0","590.0","2"
"Handprinted Camp Shirt","Portland","20277950-fco-025011658","USD","585.0","0.0","585.0","3"
"Crewneck Guide Sweater","Portland","11010691-fco-000170252","USD","550.0","0.0","550.0","1"
"Crewneck Guide Sweater","Portland","11010691-fco-010759448","USD","550.0","0.0","550.0","1"
"Medium Rugged Twill Field Bag","Portland","11070232-fco-000971913","USD","550.0","0.0","550.0","1"
"Rail-Splitter Selvedge Jeans","Portland","20195429-fco-013105579","USD","510.0","0.0","510.0","2"
"Short Sleeve Chambray Shirt","Portland","20248774-fco-021942454","USD","500.0","125.0","375.0","4"
"48 Hour Tin Cloth Duffle Bag","Portland","20231634-fco-000000073","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000117","USD","495.0","0.0","495.0","1"
