"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","1145.5","0.0","1145.5","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936243","USD","1050.0","350.0","700.0","4"
"Skagit Rain Jacket ","Portland","20147678-fco-008968862","USD","910.0","0.0","910.0","2"
"CPO Wool Jac-Shirt","Portland","20233072-fco-000000538","USD","850.0","425.0","425.0","2"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000045","USD","807.5","0.0","807.5","2"
"Traveller Outfitter Bag","Portland","20264454-fco-005970331","USD","796.0","0.0","796.0","1"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971912","USD","792.0","0.0","792.0","2"
"Rail-Splitter Selvedge Jeans","Portland","20195429-fco-013105579","USD","765.0","255.0","510.0","3"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000073","USD","750.5","0.0","750.5","2"
"Lined Mackinaw Wool Packer Coat","Portland","20266728-fco-022850412","USD","731.25","0.0","731.25","1"
"Cavalry Wool Field Jacket","Portland","20263382-fco-000000089","USD","725.0","0.0","725.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936242","USD","700.0","0.0","700.0","2"
"Surveyor 36l Backpack","Portland","20277988-fco-022852724","USD","675.0","0.0","675.0","3"
"Field Jac-shirt","Portland","20277936-fco-025019478","USD","675.0","0.0","675.0","3"
"Field Cargo Pants","Portland","20233133-fco-011280487","USD","675.0","0.0","675.0","3"
"Mackinaw Wool Insulated Cruiser Jacket","Portland","20263379-fco-022850363","USD","650.0","0.0","650.0","1"
"Rugged Twill Computer Bag","Portland","11070258-fco-000971914","USD","625.0","0.0","625.0","1"
"Granite Mountain 6"" Shorts","Portland","20190979-fco-025021537","USD","593.75","95.0","498.75","8"
