"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"SHORT LINED CRUISER","Portland","F1420232828-1-Blk-M-BGD","USD","1248.96","0.0","1248.96","4"
"TIN CLOTH COMPACT BRIEFCASE","Portland","F2020263587-1-OtrGrn-OS-VNM","USD","1091.24","295.0","796.24","4"
"MACKINAW CRUISER","Portland","F1420266330-1-RedBlk-XL-USA","USD","1014.0699999999999","550.0","464.06999999999994","2"
"DRYDEN BACKPACK","Portland","F2020295178-1-OtrGrn-OS-VNM","USD","969.95","0.0","969.95","4"
"W'S CANVAS BARN COAT","Portland","F1520298185-1-FeatherGry-XS-IND","USD","927.62","206.25","721.37","4"
"TIN CLOTH PRIMALOFT® JACKET","Portland","F1420263397-1-Blk-L-BGD","USD","885.0","0.0","885.0","3"
"W'S AVIATOR SHORT WORK JACKET","Portland","F1520298191-1-FlagBlu-XS-LKA","USD","851.38","0.0","851.38","3"
"LINED TIN CRUISER","Portland","F1420204429-1-DkTan-M-BGD","USD","850.0","0.0","850.0","2"
"SHORT LINED CRUISER","Portland","F1420232828-1-MilGrn-S-BGD","USD","840.0","0.0","840.0","4"
"TIN CLOTH INSULATED WORK VEST","Portland","F1420172090-1-Blk-L-KOR","USD","720.0","225.0","495.0","4"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F1420293578-1-WshFtgGrn-M-LKA","USD","702.83","0.0","702.83","3"
"W'S AVIATOR SHORT WORK JACKET","Portland","F1520298191-1-DpSea-XS-LKA","USD","650.0","0.0","650.0","2"
"W'S CANVAS BARN COAT","Portland","F1520298185-1-BotFlr-M-IND","USD","650.0","0.0","650.0","2"
"CHAMBRAY CPO SHIRT","Portland","F1420189139-1-LtInd-L-LKA","USD","646.75","145.0","501.75","5"
"SHORT LINED CRUISER","Portland","F1420232828-1-ServiceBlu-XL-BGD","USD","627.06","0.0","627.06","2"
"SHORT LINED CRUISER","Portland","F1420232828-1-DkTan-L-BGD","USD","620.0","0.0","620.0","2"
"SHORT LINED CRUISER","Portland","F1420232828-1-DkTan-M-BGD","USD","600.7","0.0","600.7","2"
"DUFFLE - MEDIUM","Portland","F11070325-1-OtterGreen-000971913","USD","595.0","595.0","0.0","1"
"CREWNECK GUIDE SWEATER","Portland","F1411010691-1-DkNvy-M-USA","USD","590.5899999999999","0.0","590.5899999999999","2"
"W'S LINED WOOL PACKER COAT","Portland","F1520289081-1-CrmBrnPd-L-GBR","USD","585.0","0.0","585.0","1"
"RANGER SHORT CRUISER","Portland","F1420291978-1-Nvy-XL-BGD","USD","562.74","0.0","562.74","3"
"SHORT LINED CRUISER","Portland","F1420232828-1-DkTan-XL-BGD","USD","560.0","350.0","210.0","2"
"TIN CLOTH OUTFITTER WALLET","Portland","F20242583-1-DarkTan-000000073","USD","558.8299999999999","145.0","413.8299999999999","4"
"MACKINAW CRUISER","Portland","F1420266330-1-DkNvy-XL-USA","USD","550.0","0.0","550.0","1"
"RANGER SHORT FIELD JACKET","Portland","F1420291979-1-DkBge-M-LKA","USD","550.0","0.0","550.0","2"
"TOTE BAG WITH ZIPPER","Portland","F20192728-1-OtterGreen-025902418","USD","540.12","295.0","245.12","2"
"TIN CLOTH PRIMALOFT® JACKET","Portland","F1420263397-1-Blk-M-BGD","USD","540.12","295.0","245.12","2"
"LT WT ALASKAN GUIDE SHIRT","Portland","F1420293594-1-MdntNvy-M-LKA","USD","514.53","135.0","379.53","4"
"RANGER SHORT FIELD JACKET","Portland","F1420291979-1-DkBge-XL-LKA","USD","509.74","0.0","509.74","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F1420292528-1-KllyGrnBlk-L-USA","USD","500.58000000000004","0.0","500.58000000000004","2"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F1420293578-1-BluMussel-M-LKA","USD","500.0","0.0","500.0","2"
"W'S RANGER RAINCOAT","Portland","F1520298183-1-DkBge-XS-LKA","USD","495.13","0.0","495.13","2"
"FIELD JAC-SHIRT (REVERSE SATEEN)","Portland","F1420277936-1-GryKha-M-LKA","USD","495.0","0.0","495.0","4"
"DUFFLE - MEDIUM","Portland","F20195531-1-Navy-000971912","USD","495.0","0.0","495.0","1"
"MACKINAW CRUISER","Portland","F1420266330-1-ForGrn-L-USA","USD","495.0","495.0","0.0","1"
"DUFFLE - MEDIUM","Portland","F2520195531-1-Tan-OS-USA","USD","495.0","0.0","495.0","1"
"MACKINAW CRUISER","Portland","F1420266330-1-Chr-M-USA","USD","495.0","0.0","495.0","1"
"TIN CLOTH INSULATED WORK VEST","Portland","F1420172090-1-DkTan-M-KOR","USD","450.0","0.0","450.0","2"
