"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358096","USD","1760.6400000000003","0.0","1760.6400000000003","5"
"Traveller Outfitter Bag","Portland","20264454-fco-005970331","USD","1629.31","0.0","1629.31","2"
"Roughout Leather Short Cruiser Jacket","Portland","20187535-fco-000000122","USD","1450.0","0.0","1450.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000356","USD","1361.5099999999998","0.0","1361.5099999999998","5"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000099","USD","1334.3899999999999","0.0","1334.3899999999999","6"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000103","USD","1266.12","0.0","1266.12","5"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943281","USD","1190.0","0.0","1190.0","2"
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971912","USD","1137.93","0.0","1137.93","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000045","USD","1108.63","0.0","1108.63","4"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000353","USD","1100.0","0.0","1100.0","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000111","USD","1100.0","0.0","1100.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000042","USD","1073.63","0.0","1073.63","4"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000000089","USD","1045.0","0.0","1045.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","1011.52","252.88","758.64","4"
"Wool Jac-shirt","Portland","20288328-fco-025891392","USD","1000.0","0.0","1000.0","4"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-025739028","USD","999.38","0.0","999.38","2"
"Lined Denim Cruiser Jacket","Portland","20204440-fco-012796320","USD","997.5","0.0","997.5","2"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000468","USD","966.0","0.0","966.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936241","USD","952.87","700.0","252.87","3"
"Chris Stapleton Signature Mackinaw Wool Cruiser","Portland","20291528-fco-025943283","USD","952.0","595.0","357.0","2"
"Seattle Wool Jac-shirt","Portland","20266729-fco-000000076","USD","896.81","0.0","896.81","3"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000074","USD","885.0","0.0","885.0","3"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358095","USD","860.62","0.0","860.62","3"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-000000117","USD","859.6800000000001","472.5","387.18000000000006","3"
"Women's Wool Cardigan","Portland","20295281-fco-027258808","USD","857.75","0.0","857.75","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000043","USD","857.5","0.0","857.5","3"
"Women's Mackinaw Wool Barn Coat","Portland","20295278-fco-000000538","USD","855.0","202.5","652.5","3"
"Women's Mackinaw Wool Barn Coat","Portland","20295278-fco-000000119","USD","855.0","0.0","855.0","2"
"Waffle Knit Henley","Portland","20288578-fco-007558722","USD","805.0","0.0","805.0","7"
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","790.0","395.0","395.0","2"
"Beartooth Jac-shirt","Portland","20277935-fco-022850510","USD","767.0","0.0","767.0","3"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-025733697","USD","761.25","0.0","761.25","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041833","USD","758.64","0.0","758.64","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000101","USD","758.63","0.0","758.63","3"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851665","USD","708.75","0.0","708.75","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000107","USD","700.0","0.0","700.0","2"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000044","USD","695.94","0.0","695.94","2"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000042","USD","695.94","0.0","695.94","2"
"CPO Wool Jac-Shirt","Portland","20233072-fco-000000119","USD","695.94","0.0","695.94","2"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000043","USD","695.94","0.0","695.94","2"
"Down Cruiser Parka","Portland","20236378-fco-000000053","USD","695.0","0.0","695.0","1"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971913","USD","686.8199999999999","0.0","686.8199999999999","2"
"Rail-Splitter Selvedge Jeans","Portland","20195429-fco-013105579","USD","672.56","162.56","509.99999999999994","3"
"Jacquard Wool Crewneck Sweater","Portland","20263582-fco-022858033","USD","671.12","0.0","671.12","3"
"Vintage Flannel Work Shirt","Portland","11010689-fco-025896319","USD","660.0","0.0","660.0","4"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-000170249","USD","650.0","0.0","650.0","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000101","USD","650.0","0.0","650.0","2"
"Women's Shelter Cloth Short Work Jacket","Portland","20289089-fco-000000044","USD","650.0","0.0","650.0","2"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-000170248","USD","650.0","0.0","650.0","1"
"Women's Waxed Down Parka","Portland","20295279-fco-027258631","USD","650.0","0.0","650.0","1"
