"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971913","USD","1785.0","0.0","1785.0","3"
"Journeyman Backpack","Portland","20231638-fco-005970331","USD","1422.0","395.0","1027.0","5"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041833","USD","1400.0","350.0","1050.0","4"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000043","USD","1232.5","0.0","1232.5","3"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000073","USD","1185.0","0.0","1185.0","3"
"48 Hour Tin Cloth Duffle Bag","Portland","20231634-fco-000000074","USD","990.0","0.0","990.0","2"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971913","USD","990.0","0.0","990.0","2"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971912","USD","940.5","0.0","940.5","2"
"Skagit Rain Jacket ","Portland","20147678-fco-008968862","USD","864.5","0.0","864.5","2"
"Eagle Harbor Jac-shirt","Portland","20277937-fco-000000289","USD","825.0","0.0","825.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000099","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000356","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000042","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000101","USD","700.0","0.0","700.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","700.0","0.0","700.0","2"
"Tin Cloth Insulated Packer Coat","Portland","20263400-fco-000000045","USD","695.0","0.0","695.0","1"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000044","USD","690.0","345.0","345.0","2"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000101","USD","675.0","0.0","675.0","3"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000042","USD","655.5","0.0","655.5","2"
"Large Rugged Twill Rucksack","Portland","20218833-fco-000000074","USD","595.0","595.0","0.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936242","USD","560.0","0.0","560.0","2"
"Medium Rugged Twill Field Bag","Portland","11070232-fco-000971913","USD","550.0","0.0","550.0","1"
"Eagle Harbor Jac-shirt","Portland","20277937-fco-000000329","USD","550.0","0.0","550.0","2"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000468","USD","500.25","345.0","155.25","2"
"Small Tin Cloth Duffle Bag","Portland","20263594-fco-000000074","USD","500.0","250.0","250.0","2"
"Wool Jac-shirt","Portland","20288328-fco-025433583","USD","500.0","0.0","500.0","2"
"Wool Jac-shirt","Portland","20288328-fco-025011092","USD","500.0","0.0","500.0","2"
"Wool Jac-shirt","Portland","20288328-fco-024697102","USD","500.0","0.0","500.0","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170248","USD","495.0","0.0","495.0","1"
"Lined Denim Short Cruiser Jacket","Portland","20172080-fco-012796320","USD","495.0","0.0","495.0","1"
"48 Hour Tin Cloth Duffle Bag","Portland","20231634-fco-000000073","USD","495.0","0.0","495.0","1"
"Journeyman Backpack","Portland","20231638-fco-000000093","USD","474.0","0.0","474.0","2"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000468","USD","465.0","0.0","465.0","1"
"Skagit Rain Jacket ","Portland","20147678-fco-008968865","USD","455.0","0.0","455.0","1"
"Skagit Rain Jacket ","Portland","20147678-fco-008968867","USD","455.0","0.0","455.0","1"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-023120921","USD","455.0","0.0","455.0","1"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000105","USD","450.0","0.0","450.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-023358097","USD","450.0","450.0","0.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851784","USD","450.0","0.0","450.0","1"
"Field Jac-shirt","Portland","20277936-fco-025019479","USD","450.0","0.0","450.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851670","USD","450.0","450.0","0.0","2"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971914","USD","450.0","0.0","450.0","1"
"Field Cargo Pants","Portland","20233133-fco-025020941","USD","450.0","225.0","225.0","2"
"Field Cargo Pants","Portland","20233133-fco-025020942","USD","450.0","0.0","450.0","2"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000042","USD","450.0","0.0","450.0","2"
"Rugged Twill Tote Bag With Zipper","Portland","11070261-fco-000971913","USD","427.75","0.0","427.75","2"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000468","USD","425.0","0.0","425.0","1"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000045","USD","425.0","0.0","425.0","1"
"Heritage Sportsman Bag","Portland","20231635-fco-000002575","USD","425.0","0.0","425.0","1"
"Mackinaw Wool Jac-shirt","Portland","20263528-fco-022852777","USD","425.0","425.0","0.0","1"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000042","USD","425.0","0.0","425.0","1"
"Down Cruiser Parka","Portland","20236378-fco-000000054","USD","417.0","0.0","417.0","1"
"Jac-shirt","Portland","20251028-fco-000000042","USD","395.0","0.0","395.0","1"
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","395.0","0.0","395.0","1"
"Journeyman Backpack","Portland","20231638-fco-000000074","USD","395.0","0.0","395.0","1"
"24 Hour Tin Cloth Briefcase - Otter Green","Portland","20231633-fco-000000074","USD","395.0","0.0","395.0","1"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000074","USD","395.0","0.0","395.0","1"
"Moleskin Seattle Shirt","Portland","11010394-fco-000266019","USD","390.0","0.0","390.0","2"
"Moleskin Seattle Shirt","Portland","11010394-fco-000000135","USD","390.0","0.0","390.0","2"
"Prospector Embroidered Hoodie","Portland","20242828-fco-024662040","USD","375.0","125.0","250.0","3"
"Stetson Wolf Canyon Hat","Portland","20031028-fco-000000094","USD","375.0","0.0","375.0","1"
"Short Sleeve Chambray Shirt","Portland","20248774-fco-021942452","USD","375.0","0.0","375.0","3"
"Tin Cloth Primaloft® Vest","Portland","20248735-fco-025772202","USD","371.25","0.0","371.25","2"
"Safari Cloth Jacket","Portland","20277933-fco-025018964","USD","355.25","0.0","355.25","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936246","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000043","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000045","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000468","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000358","USD","350.0","350.0","0.0","1"
"Safari Cloth Pants","Portland","20277942-fco-025021007","USD","350.0","0.0","350.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000103","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936243","USD","350.0","0.0","350.0","1"
"Waffle Knit Henley","Portland","20233067-fco-000001922","USD","345.0","0.0","345.0","3"
"Down Cruiser Vest","Portland","20070978-fco-000000053","USD","345.0","0.0","345.0","1"
"Tin Cloth Work Jacket","Portland","20232885-fco-000000043","USD","345.0","0.0","345.0","1"
"Vintage Flannel Work Shirt","Portland","11010689-fco-025133076","USD","330.0","0.0","330.0","2"
"Vintage Flannel Work Shirt","Portland","11010689-fco-025133033","USD","330.0","0.0","330.0","2"
"Small Tin Cloth Duffle Bag","Portland","20263732-fco-017871261","USD","325.0","0.0","325.0","1"
"Large Dog Bed","Portland","20067757-fco-000000073","USD","318.75","0.0","318.75","1"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000092","USD","295.0","0.0","295.0","1"
"Beartooth Jac-shirt","Portland","20277935-fco-022850510","USD","295.0","0.0","295.0","1"
"Medium Tin Cloth Duffle Bag","Portland","20263595-fco-000000073","USD","295.0","0.0","295.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-025772205","USD","295.0","0.0","295.0","1"
"Beartooth Jac-shirt","Portland","20277935-fco-025019006","USD","295.0","0.0","295.0","1"
"Western Vest","Portland","20272328-fco-000000122","USD","295.0","0.0","295.0","1"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000073","USD","295.0","0.0","295.0","1"
