Product Name,SKU,Size,Color,Price,Currency,Location,In Stock,Reserved,Allocated,Safety Stock,ATP,Last Stock Import,Timezone,Last Mispick,Mispick Timezone,Present ATP,Future ATP,Future Availability Date
TIN CRUISER,F1420271278-1-DkTan-L-BGD,L,DarkTan,255,USD,50003,0,0,0,0,0,,,,,0,0,
TIN CRUISER,F1420271278-1-DkTan-XS-BGD,XS,DarkTan,255,USD,50003,0,0,0,0,0,,,,,0,0,
TIN CRUISER,F1420271278-1-DkTan-XL-BGD,XL,DarkTan,255,USD,50003,0,0,0,0,0,,,,,0,0,
TIN CRUISER,F1420271278-1-DkTan-2XL-BGD,XXL,DarkTan,255,USD,50003,0,0,0,0,0,,,,,0,0,
TIN CRUISER,F1420271278-1-DkTan-3XL-BGD,XXXL,DarkTan,255,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-S-USA,S,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-M-USA,M,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-L-USA,L,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-XS-USA,XS,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-XL-USA,XL,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL JAC-SHIRT,F1420263528-1-RedBlkOmPd-2XL-USA,XXL,RdBlkOmbre,247.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL WORK JACKET,F1420266329-1-BluMtiPd-M-USA,M,BluCprHth,262.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL WORK JACKET,F1420266329-1-BluMtiPd-L-USA,L,BluCprHth,262.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL WORK JACKET,F1420266329-1-BluMtiPd-XS-USA,XS,BluCprHth,262.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL WORK JACKET,F1420266329-1-BluMtiPd-XL-USA,XL,BluCprHth,262.5,USD,50003,0,0,0,0,0,,,,,0,0,
MACKINAW WOOL WORK JACKET,F1420266329-1-BluMtiPd-2XL-USA,XXL,BluCprHth,262.5,USD,50003,0,0,0,0,0,,,,,0,0,
MOOSE 64-OZ. CERAMIC GROWLER,F20274590-1-BlackMoose-023162661,One Size,BlackMoose,165,USD,50003,0,0,0,0,0,,,,,0,0,
Gift Box,F9920275979-BlkPd-M-USA,,PlaidBlack,9999,USD,50003,0,0,0,0,0,,,,,0,0,
Gift Box,F9920275979-BlkPd-L-USA,,PlaidBlack,9999,USD,50003,0,0,0,0,0,,,,,0,0,
Gift Box,F9920275979-BlkPd-XL-USA,,PlaidBlack,9999,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-BluGldPd-M-IND,M,BlueAshGld,84.5,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-S-BGD,S,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-M-BGD,M,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-L-BGD,L,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-XS-BGD,XS,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-XL-BGD,XL,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
